,時点,死亡数,集計年,説明変数,予測値,実測値からの差
316,2004年5月,82730,2004,2004.4166666666667,90855.91895837942,-8125.918958379421
317,2004年6月,75575,2004,2004.5,90985.82553371787,-15410.82553371787
318,2004年7月,79403,2004,2004.5833333333333,91115.73210905679,-11712.732109056786
319,2004年8月,79135,2004,2004.6666666666667,91245.6386843957,-12110.6386843957
320,2004年9月,76086,2004,2004.75,91375.54525973462,-15289.545259734616
321,2004年10月,85774,2004,2004.8333333333333,91505.45183507353,-5731.451835073531
322,2004年11月,86762,2004,2004.9166666666667,91635.35841041245,-4873.358410412446
323,2004年12月,95279,2004,2005.0,91765.26498575136,3513.7350142486393
324,2005年1月,103215,2005,2005.0833333333333,91895.17156109028,11319.828438909724
325,2005年2月,95754,2005,2005.1666666666667,92025.07813642919,3728.9218635708094
326,2005年3月,108113,2005,2005.25,92154.9847117681,15958.015288231894
327,2005年4月,91577,2005,2005.3333333333333,92284.89128710655,-707.891287106555
328,2005年5月,86307,2005,2005.4166666666667,92414.79786244594,-6107.797862445936
329,2005年6月,78091,2005,2005.5,92544.70443778485,-14453.70443778485
330,2005年7月,80430,2005,2005.5833333333333,92674.6110131233,-12244.6110131233
331,2005年8月,82140,2005,2005.6666666666667,92804.51758846268,-10664.51758846268
332,2005年9月,78716,2005,2005.75,92934.42416380113,-14218.42416380113
333,2005年10月,85391,2005,2005.8333333333333,93064.33073914004,-7673.330739140045
334,2005年11月,90964,2005,2005.9166666666667,93194.23731447943,-2230.2373144794255
335,2005年12月,103098,2005,2006.0,93324.14388981787,9773.856110182125
336,2006年1月,109342,2006,2006.0833333333333,93454.05046515679,15887.94953484321
337,2006年2月,92842,2006,2006.1666666666667,93583.9570404957,-741.9570404957049
338,2006年3月,95705,2006,2006.25,93713.86361583462,1991.1363841653802
339,2006年4月,90660,2006,2006.3333333333333,93843.77019117353,-3183.770191173535
340,2006年5月,88613,2006,2006.4166666666667,93973.67676651245,-5360.67676651245
341,2006年6月,81168,2006,2006.5,94103.58334185136,-12935.583341851365
342,2006年7月,82915,2006,2006.5833333333333,94233.48991719028,-11318.48991719028
343,2006年8月,83443,2006,2006.6666666666667,94363.3964925292,-10920.396492529195
344,2006年9月,80605,2006,2006.75,94493.30306786811,-13888.30306786811
345,2006年10月,86512,2006,2006.8333333333333,94623.20964320656,-8111.209643206559
346,2006年11月,91726,2006,2006.9166666666667,94753.11621854594,-3027.11621854594
347,2006年12月,100920,2006,2007.0,94883.02279388485,6036.977206115145
348,2007年1月,104985,2007,2007.0833333333333,95012.9293692233,9972.070630776696
349,2007年2月,91426,2007,2007.1666666666667,95142.83594456268,-3716.8359445626847
350,2007年3月,101911,2007,2007.25,95272.74251990113,6638.257480098866
351,2007年4月,92130,2007,2007.3333333333333,95402.64909524005,-3272.649095240049
352,2007年5月,90112,2007,2007.4166666666667,95532.55567057943,-5420.55567057943
353,2007年6月,82231,2007,2007.5,95662.46224591788,-13431.462245917879
354,2007年7月,84523,2007,2007.5833333333333,95792.3688212568,-11269.368821256794
355,2007年8月,88049,2007,2007.6666666666667,95922.27539659571,-7873.275396595709
356,2007年9月,82998,2007,2007.75,96052.18197193462,-13054.181971934624
357,2007年10月,91459,2007,2007.8333333333333,96182.08854727354,-4723.088547273539
358,2007年11月,94706,2007,2007.9166666666667,96311.99512261245,-1605.995122612454
